"guid","DisplayName","Description","Category","Version","ResourceID"
"0004bbf0-5099-4179-869e-e9ffe5fb0945","Microsoft Managed Control 1599 - Developer Configuration Management | Software / Firmware Integrity Verification","Microsoft implements this System and Services Acquisition control","Regulatory Compliance","1.0.0","/providers/Microsoft.Authorization/policyDefinitions/0004bbf0-5099-4179-869e-e9ffe5fb0945"
"0015ea4d-51ff-4ce3-8d8c-f3f8f0179a56","Audit virtual machines without disaster recovery configured","Audit virtual machines which do not have disaster recovery configured. To learn more about disaster recovery, visit https://aka.ms/asr-doc.","Compute","1.0.0","/providers/Microsoft.Authorization/policyDefinitions/0015ea4d-51ff-4ce3-8d8c-f3f8f0179a56"
"001802d1-4969-4c82-a700-c29c6c6f9bbd","[Deprecated]: Audit Web Sockets state for a Function App","The Web Sockets protocol is vulnerable to different types of security threats. Use of Web Sockets within an Function app must be carefully reviewed.","Security Center","1.0.0-deprecated","/providers/Microsoft.Authorization/policyDefinitions/001802d1-4969-4c82-a700-c29c6c6f9bbd"
"00379355-8932-4b52-b63a-3bc6daf3451a","Microsoft Managed Control 1375 - Incident Response Assistance | Automation Support For Availability Of Information / Support","Microsoft implements this Incident Response control","Regulatory Compliance","1.0.0","/providers/Microsoft.Authorization/policyDefinitions/00379355-8932-4b52-b63a-3bc6daf3451a"
"0040d2e5-2779-170d-6a2c-1f5fca353335","Restrict location of information processing, storage and services","CMA_C1593 - Restrict location of information processing, storage and services","Regulatory Compliance","1.1.0","/providers/Microsoft.Authorization/policyDefinitions/0040d2e5-2779-170d-6a2c-1f5fca353335"
"0049a6b3-a662-4f3e-8635-39cf44ace45a","Vulnerability assessment should be enabled on your Synapse workspaces","Discover, track, and remediate potential vulnerabilities by configuring recurring SQL vulnerability assessment scans on your Synapse workspaces.","Synapse","1.0.0","/providers/Microsoft.Authorization/policyDefinitions/0049a6b3-a662-4f3e-8635-39cf44ace45a"
"005380e0-1f5b-467a-8ae8-8519938627f9","Enable logging by category group for microsoft.networkcloud/storageappliances to Storage","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Storage Account for microsoft.networkcloud/storageappliances.","Monitoring","1.0.0","/providers/Microsoft.Authorization/policyDefinitions/005380e0-1f5b-467a-8ae8-8519938627f9"
"0062eb8b-dc75-4718-8ea5-9bb4a9606655","Microsoft Managed Control 1605 - Developer Security Testing And Evaluation | Static Code Analysis","Microsoft implements this System and Services Acquisition control","Regulatory Compliance","1.0.0","/providers/Microsoft.Authorization/policyDefinitions/0062eb8b-dc75-4718-8ea5-9bb4a9606655"
"0065241c-72e9-3b2c-556f-75de66332a94","Establish parameters for searching secret authenticators and verifiers","CMA_0274 - Establish parameters for searching secret authenticators and verifiers","Regulatory Compliance","1.1.0","/providers/Microsoft.Authorization/policyDefinitions/0065241c-72e9-3b2c-556f-75de66332a94"
"0088bc63-6dee-4a9c-9d29-91cfdc848952","SQL Server Integration Services integration runtimes on Azure Data Factory should be joined to a virtual network","Azure Virtual Network deployment provides enhanced security and isolation for your SQL Server Integration Services integration runtimes on Azure Data Factory, as well as subnets, access control policies, and other features to further restrict access.","Data Factory","2.3.0","/providers/Microsoft.Authorization/policyDefinitions/0088bc63-6dee-4a9c-9d29-91cfdc848952"
"009259b0-12e8-42c9-94e7-7af86aa58d13","[Preview]: Configure VMSS created with Shared Image Gallery images to install the Guest Attestation extension","Configure VMSS created with Shared Image Gallery images to automatically install the Guest Attestation extension to allow Azure Security Center to proactively attest and monitor the boot integrity. Boot integrity is attested via Remote Attestation.","Security Center","2.1.0-preview","/providers/Microsoft.Authorization/policyDefinitions/009259b0-12e8-42c9-94e7-7af86aa58d13"
"009a0c92-f5b4-4776-9b66-4ed2b4775563","Private endpoint connections on Batch accounts should be enabled","Private endpoint connections allow secure communication by enabling private connectivity to Batch accounts without a need for public IP addresses at the source or destination. Learn more about private endpoints in Batch at https://docs.microsoft.com/azure/batch/private-connectivity.","Batch","1.0.0","/providers/Microsoft.Authorization/policyDefinitions/009a0c92-f5b4-4776-9b66-4ed2b4775563"
"00ec9865-beb6-4cfd-82ed-bd8f50756acd","Enable logging by category group for microsoft.network/p2svpngateways to Storage","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Storage Account for microsoft.network/p2svpngateways.","Monitoring","1.1.0","/providers/Microsoft.Authorization/policyDefinitions/00ec9865-beb6-4cfd-82ed-bd8f50756acd"
"00f12b6f-10d7-8117-9577-0f2b76488385","Integrate risk management process into SDLC","CMA_C1567 - Integrate risk management process into SDLC","Regulatory Compliance","1.1.0","/providers/Microsoft.Authorization/policyDefinitions/00f12b6f-10d7-8117-9577-0f2b76488385"
"0120ef84-66e7-4faf-aad8-14c36389697e","Enable logging by category group for Network security groups (microsoft.network/networksecuritygroups) to Storage","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Storage Account for Network security groups (microsoft.network/networksecuritygroups).","Monitoring","1.0.0","/providers/Microsoft.Authorization/policyDefinitions/0120ef84-66e7-4faf-aad8-14c36389697e"
"0123edae-3567-a05a-9b05-b53ebe9d3e7e","View and configure system diagnostic data","CMA_0544 - View and configure system diagnostic data","Regulatory Compliance","1.1.0","/providers/Microsoft.Authorization/policyDefinitions/0123edae-3567-a05a-9b05-b53ebe9d3e7e"
"013e242c-8828-4970-87b3-ab247555486d","Azure Backup should be enabled for Virtual Machines","Ensure protection of your Azure Virtual Machines by enabling Azure Backup. Azure Backup is a secure and cost effective data protection solution for Azure.","Backup","3.0.0","/providers/Microsoft.Authorization/policyDefinitions/013e242c-8828-4970-87b3-ab247555486d"
