name|category|displayName|description|url
01.1.1.|01. About information security|Understanding and using the NZISM|The New Zealand Information Security Manual details processes and controls essential for the protection of all New Zealand Government information and systems. Controls and processes representing good practice are also provided to enhance the baseline controls. Baseline controls are minimum acceptable levels of controls and are often described as systems hygiene .|https://www.nzism.gcsb.govt.nz/ism-document#Section-11965
01.1.64.C.01.|01. About information security|Understanding and using the NZISM - Non-compliance|Controls for classified systems and information within this manual with a MUST  or MUST NOT  compliance requirement cannot be effectively individually risk managed by agencies without jeopardising their own, multi-agency or All-of-Government information assurance.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12064
01.1.65.C.01.|01. About information security|Understanding and using the NZISM - Justification for non-compliance|Without sufficient justification and consideration of security risks by the system owner when seeking a dispensation, the agency head or their authorised delegate will lack the appropriate range of information to the make an informed decision on whether to accept the security risk and grant the dispensation or not.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12064
01.1.66.C.01.|01. About information security|Understanding and using the NZISM - Consultation on non-compliance|When an agency stores information on their systems that belongs to a foreign government they have an obligation to inform and seek agreement from that third party when they do not apply all appropriate controls in this manual. These third parties will place reliance on the application of controls from the NZISM. If the agency fails to implement all appropriate controls, the third party will be unaware that their information may have been placed at a heightened risk of compromise. As such, the third party is denied the opportunity to consider their own additional risk mitigation measures for their information in light of the agency s desire to risk manage controls from this manual.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12064
01.1.66.C.02.|01. About information security|Understanding and using the NZISM - Consultation on non-compliance|When an agency stores information on their systems that belongs to a foreign government they have an obligation to inform and seek agreement from that third party when they do not apply all appropriate controls in this manual. These third parties will place reliance on the application of controls from the NZISM. If the agency fails to implement all appropriate controls, the third party will be unaware that their information may have been placed at a heightened risk of compromise. As such, the third party is denied the opportunity to consider their own additional risk mitigation measures for their information in light of the agency s desire to risk manage controls from this manual.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12064
01.1.67.C.01.|01. About information security|Understanding and using the NZISM - All-of-Government Systems|All-of-Government systems, because they are connected to multiple agencies, have the potential to cause significant and widespread disruption should system failures, cyber-attacks or other incidents occur.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12064
01.1.68.C.01.|01. About information security|Understanding and using the NZISM - Reviewing non-compliance|As part of the process of providing justification for a dispensation to the Accreditation Authority, an assessment of the degree of compliance, identification of areas of non-compliance and determination of residual security risk is undertaken by the agency or lead agency. This assessment is based on the risk environment at the time the dispensation is sought. As the risk environment will continue to evolve over time it is important that agencies revisit the assessment on an annual basis and update it according to the current risk environment, and if necessary reverse any decisions to grant a dispensation if the security risk is no longer of an acceptable level.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12064
01.1.69.C.01.|01. About information security|Understanding and using the NZISM - Recording non-compliance|Without appropriate records of decisions to risk manage controls from this manual, agencies have no record of the status of information security within their agency. Furthermore, a lack of such records will hinder any governance, compliance or auditing activities that may be conducted. |https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12064
01.1.69.C.02.|01. About information security|Understanding and using the NZISM - Recording non-compliance|Without appropriate records of decisions to risk manage controls from this manual, agencies have no record of the status of information security within their agency. Furthermore, a lack of such records will hinder any governance, compliance or auditing activities that may be conducted. |https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12064
01.2.1.|01. About information security|Applicability, Authority and Compliance|Agencies understand and follow the requirements of the New Zealand Information Security Manual. Protection of government information and systems is a core accountability.|https://www.nzism.gcsb.govt.nz/ism-document#Section-12091
