policyDefinitionId,groupNames,parameters
ef619a2c-cc4d-4d03-b2ba-8c94a834d85b,10.8.35.C.01.,evaluatedSkuNames-ef619a2c-cc4d-4d03-b2ba-8c94a834d85b
ca610c1d-041c-4332-9d88-7ed3094967c7,10.8.35.C.01.,
9830b652-8523-49cc-b1b3-e17dce1127ca,10.8.35.C.01.,
4b90e17e-8448-49db-875e-bd83fb6f804f,10.8.35.C.01.,
45e05259-1eb5-4f70-9574-baf73e9d219b,10.8.35.C.01.,effect-45e05259-1eb5-4f70-9574-baf73e9d219b
0a15ec92-a229-4763-bb14-0ea34a568f8d,14.1.9.C.01.,
af35e2a4-ef96-44e7-a9ae-853dd97032c4,10.8.35.C.01.,effect-af35e2a4-ef96-44e7-a9ae-853dd97032c4;evaluatedSkuNames-af35e2a4-ef96-44e7-a9ae-853dd97032c4
e8eef0a8-67cf-4eb4-9386-14b0e78733d4,10.8.35.C.01.,
7698e800-9299-47a6-b3b6-5a0fee576eed,10.8.35.C.01.,
009a0c92-f5b4-4776-9b66-4ed2b4775563,10.8.35.C.01.,
0a1302fb-a631-4106-9753-f3d494733990,10.8.35.C.01.,
7595c971-233d-4bcf-bd18-596129188c49,10.8.35.C.01.,
0564d078-92f5-4f97-8398-b9f58a51f70b,10.8.35.C.01.,
ac4a19c2-fa67-49b4-8ae5-0b2e78c49457,14.1.9.C.01.,
2a1a9cdf-e04d-429a-8416-3bfb72a1b26f,10.8.35.C.01.,effect-2a1a9cdf-e04d-429a-8416-3bfb72a1b26f
6edd7eda-6dd8-40f7-810d-67160c639cd9,10.8.35.C.01.,
2154edb9-244f-4741-9970-660785bccdaa,10.8.35.C.01.,effect-2154edb9-244f-4741-9970-660785bccdaa
c3f317a7-a95c-4547-b7e7-11017ebdf2fe,12.4.4.C.02.,
86b3d65f-7626-441e-b690-81a8b71cff60,12.4.4.C.02.,
cb510bfd-1cba-4d9f-a230-cb0976f4bb71,14.1.8.C.01.,
0e60b895-3786-45da-8377-9c6b4b6ac5f9,14.1.8.C.01.,
22730e10-96f6-4aac-ad84-9383d35b5917,14.1.8.C.01.,
1ee56206-5dd1-42ab-b02d-8aae8b1634ce,10.8.35.C.01.,
8e42c1f2-a2ab-49bc-994a-12bcd0dc4ac2,14.1.9.C.01.,
1f7c564c-0a90-4d44-b7e1-9d456cffaee8,14.1.9.C.01.,
26a828e1-e88f-464e-bbb3-c134a282b9de,14.1.9.C.01.,
ae89ebca-1c92-4898-ac2c-9f63decb045c,14.1.9.C.01.,
